year,state,ci_low,ci_high,state_fips,inactivity_prevalence,obesity_prevalence,smoking_prevalence
2014,AL,11,12.6,1.0,39.7,59.3,21.2
2014,AK,6.7,8.7,2.0,30.0,64.5,16.6
2014,AZ,8.5,9.8,4.0,31.6,62.1,16.9
2014,AR,10.4,12.6,5.0,51.6,63.6,24.1
2014,CA,9.2,10.7,6.0,29.3,44.6,12.7
2014,CO,6.5,7.5,8.0,32.5,51.8,18.6
2014,CT,7.3,8.7,9.0,36.5,54.9,17.1
2014,DE,8.8,10.9,10.0,39.5,57.4,21.0
2014,DC,8,10.5,11.0,39.9,47.0,27.8
2014,FL,8.8,10.2,12.0,36.2,56.8,16.9
2014,GA,10.2,11.9,13.0,33.5,55.5,19.8
2014,HI,8,9.9,15.0,27.5,43.4,14.8
2014,ID,6.3,7.9,16.0,27.6,54.5,16.7
2014,IL,8.5,10.3,17.0,41.5,60.7,19.2
2014,IN,9.2,10.4,18.0,39.9,63.2,23.4
2014,IA,7.7,9,19.0,30.1,64.6,22.1
2014,KS,9,10,20.0,38.4,59.2,19.8
2014,KY,10.5,12.3,21.0,43.2,61.1,25.8
2014,LA,9.7,11.2,22.0,40.0,63.9,20.7
2014,ME,7.2,8.5,23.0,34.6,59.6,17.5
2014,MD,8.5,9.9,24.0,35.0,61.0,18.3
2014,MA,8.2,9.5,25.0,33.2,51.0,22.8
2014,MI,8.4,9.6,26.0,35.3,59.7,19.2
2014,MN,7.1,7.9,27.0,31.9,57.1,17.6
2014,MS,10.8,13.1,28.0,41.7,56.6,21.7
2014,MO,9.1,11,29.0,36.6,58.6,19.5
2014,MT,6.9,8.4,30.0,36.1,58.1,27.2
2014,NE,7.9,8.9,31.0,32.6,59.4,20.9
2014,NV,7.8,10.1,32.0,30.7,50.9,20.1
2014,NH,7.1,8.7,33.0,31.4,58.7,18.8
2014,NJ,8.1,9.3,34.0,35.1,52.6,13.9
2014,NM,9.6,11.3,35.0,30.5,51.3,15.2
2014,NY,8.5,10,36.0,39.4,55.4,18.0
2014,NC,9.2,10.6,37.0,36.4,57.3,19.2
2014,ND,7.2,8.8,38.0,30.6,62.1,19.6
2014,OH,9.6,11,39.0,38.2,61.0,19.7
2014,OK,10.2,11.6,40.0,41.2,61.0,20.2
2014,OR,7.3,8.8,41.0,27.6,54.9,16.5
2014,PA,9,10.3,42.0,37.7,58.3,22.7
2014,RI,7.6,9.1,44.0,30.6,51.5,19.6
2014,SC,10.1,11.4,45.0,38.9,61.7,22.2
2014,SD,7.3,9.3,46.0,32.2,55.9,19.6
2014,TN,10.7,12.8,47.0,42.0,59.2,27.5
2014,TX,10.1,11.5,48.0,43.2,59.1,14.1
2014,UT,7.2,8.2,49.0,29.0,54.8,12.4
2014,VT,6.3,7.7,50.0,34.2,61.1,19.8
2014,VA,8.4,9.6,51.0,37.0,57.9,20.2
2014,WA,7.6,8.8,53.0,30.7,57.4,16.7
2014,WV,11.2,12.9,54.0,43.3,63.4,24.6
2014,WI,7.2,8.8,55.0,31.5,60.9,16.5
2014,WY,6.9,8.8,56.0,39.0,52.3,18.5
2015,AL,11.2,12.9,1.0,47.2,62.7,19.7
2015,AK,6.6,9.2,2.0,35.0,52.0,22.7
2015,AZ,8.4,9.9,4.0,31.9,52.9,15.1
2015,AR,10.2,12.4,5.0,46.5,64.0,21.5
2015,CA,9,10.3,6.0,28.8,43.7,12.7
2015,CO,5.9,6.9,8.0,28.9,50.8,17.7
2015,CT,7.5,8.8,9.0,38.1,56.6,19.1
2015,DE,8.9,11,10.0,36.8,53.9,20.7
2015,DC,8,10.7,11.0,29.2,59.1,22.4
2015,FL,8.6,10,12.0,42.2,52.9,18.1
2015,GA,9.8,11.6,13.0,36.7,59.1,20.9
2015,HI,7,8.6,15.0,29.5,50.8,12.5
2015,ID,6.6,8.1,16.0,26.7,61.9,17.9
2015,IL,8.3,9.9,17.0,36.7,59.5,13.0
2015,IN,9.5,11.5,18.0,40.5,55.0,18.5
2015,IA,7,8.4,19.0,37.8,60.6,18.3
2015,KS,8.5,9.2,20.0,37.6,62.4,20.3
2015,KY,11.1,13.1,21.0,46.7,64.7,29.2
2015,LA,10.8,12.9,22.0,48.3,60.3,24.1
2015,ME,7.5,9,23.0,33.3,63.3,20.8
2015,MD,8.6,10.2,24.0,39.1,59.2,18.2
2015,MA,7.3,8.7,25.0,40.1,54.9,15.4
2015,MI,8.8,10.2,26.0,36.2,60.5,19.1
2015,MN,6.4,7.3,27.0,33.5,55.0,20.6
2015,MS,12.5,14.7,28.0,46.3,54.2,19.2
2015,MO,9.4,11.1,29.0,46.1,59.6,21.6
2015,MT,6,7.6,30.0,30.9,53.9,18.9
2015,NE,7.5,8.5,31.0,35.1,64.5,18.5
2015,NV,7.7,10.6,32.0,32.2,44.8,19.0
2015,NH,6.2,7.4,33.0,38.3,60.0,17.0
2015,NJ,7.3,8.5,34.0,41.9,48.1,15.0
2015,NM,9.5,11.5,35.0,27.6,52.5,17.8
2015,NY,8.3,9.5,36.0,39.3,49.3,19.0
2015,NC,8.9,10.3,37.0,39.0,61.9,21.0
2015,ND,7.3,9,38.0,41.6,66.0,24.1
2015,OH,8.9,10.2,39.0,41.0,58.2,23.9
2015,OK,9.9,11.5,40.0,46.6,65.2,21.3
